id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
9340939,25090597,David,2014-12-22,"Dallas, TX",N/A,N/A,100%,f,Lake Highlands,1,2,t,f,District 10,Dallas,Private room in home,Private room,2,1.5 baths,1,1,70,1,1125,t,0,0,0,0,3/7/23,35,0,0,4.65,4.52,4.61,4.75,4.61,4.88,4.7,t,1,0,1,0,0.4
1158488,5037857,Marie,2013-02-10,"Dallas, TX",within an hour,100%,100%,t,Belmont,1,3,t,t,District 14,Dallas,Entire guest suite,Entire home/apt,2,1 bath,1,2,92,3,1125,t,20,50,80,355,3/7/23,197,9,0,4.97,4.97,4.97,4.98,4.98,4.97,4.9,f,1,1,0,0,1.66
9415835,48821106,Dia,2015-11-12,"Dallas, TX",within an hour,100%,100%,f,Belmont,1,1,t,t,District 14,Dallas,Entire home,Entire home/apt,2,1 bath,1,1,91,2,7,t,26,56,86,330,3/7/23,83,8,0,4.84,4.87,4.87,4.95,4.94,4.95,4.85,f,1,1,0,0,0.94
15342254,95030182,Lauri,2016-09-13,N/A,within a few hours,100%,100%,f,Glencoe Park,1,1,t,f,District 14,Dallas,Private room in home,Private room,2,1 private bath,1,1,80,1,1125,t,0,0,4,277,3/7/23,123,23,0,4.94,4.98,4.87,4.98,4.97,4.98,4.89,f,1,0,1,0,1.63
15342315,10487666,Grady,2013-12-07,"Dallas, TX",within an hour,100%,100%,t,Southeast Dallas,4,6,t,t,District 5,Dallas,Tiny home,Entire home/apt,2,1 bath,1,1,60,1,14,t,12,26,50,319,3/7/23,998,151,11,4.96,4.97,4.93,4.98,4.99,4.92,4.95,f,3,3,0,0,13.4
1223427,6063232,Joan,2013-04-23,"Dallas, TX",within an hour,100%,100%,f,Central Dallas,11,11,t,t,District 14,Dallas,Entire rental unit,Entire home/apt,2,1 bath,1,1,92,3,1125,t,0,5,35,310,3/7/23,90,0,0,4.64,4.72,4.77,4.76,4.74,4.81,4.66,f,11,11,0,0,0.76
15396018,98459184,Ryan,2016-10-06,"Dallas, TX",within an hour,100%,96%,t,Oak Lawn,1,1,t,t,District 2,Dallas,Private room in condo,Private room,2,1.5 baths,1,1,46,3,100,t,24,54,84,234,3/7/23,10,10,2,4.8,4.9,4.8,4.7,5,4.7,4.7,f,1,0,1,0,1.38
9461534,47783364,Adam,2015-10-30,"Dallas, TX",N/A,N/A,91%,t,Northeast Dallas,3,8,t,t,District 9,Dallas,Entire condo,Entire home/apt,6,2 baths,2,4,76,30,365,t,0,0,0,0,3/7/23,31,2,0,4.77,4.79,4.5,4.93,4.97,4.97,4.79,f,2,2,0,0,0.35
9462838,49028930,Brett,2015-11-14,"DFW Airport, TX",within a few hours,96%,97%,t,Oak Lawn,16,17,t,t,District 2,Dallas,Entire rental unit,Entire home/apt,2,1 bath,1,1,65,30,365,t,0,2,16,229,3/7/23,22,2,0,4.91,4.91,4.64,4.95,4.95,5,4.91,f,9,9,0,0,0.28
9527840,47792621,Jay,2015-10-30,"Dallas, TX",N/A,N/A,N/A,f,Oak Cliff,1,1,t,t,District 1,Dallas,Private room in home,Private room,2,2 baths,1,1,49,1,14,t,0,0,0,0,3/7/23,47,0,0,5,5,5,5,5,4.96,4.98,f,1,0,1,0,0.54
1277933,6904484,C. F. Sandy,2013-06-13,"Dallas, TX",a few days or more,0%,0%,f,North Central Dallas,1,1,t,t,District 11,Dallas,Private room in home,Private room,4,1 shared bath,2,2,65,1,1125,t,5,35,65,340,3/7/23,32,0,0,4.63,4.7,4.17,4.93,4.93,4.5,4.53,f,1,0,1,0,0.45
9575060,23454864,Kim,2014-11-07,"Dallas, TX",within a day,100%,0%,f,N/A,1,1,t,t,District 14,Dallas,Entire guesthouse,Entire home/apt,5,1 bath,1,2,100,1,29,t,0,10,40,40,3/7/23,553,0,0,4.96,4.99,4.98,4.98,4.99,4.98,4.89,f,1,1,0,0,6.29
9759515,20205060,Stan,2014-08-18,"Texas, United States",within an hour,100%,100%,t,Oak Lawn,3,3,t,t,District 14,Dallas,Entire guesthouse,Entire home/apt,2,1 bath,1,1,126,2,180,t,14,39,63,266,3/7/23,433,37,1,4.95,4.95,4.99,4.94,4.96,4.88,4.92,f,3,3,0,0,5.09
10037035,49028930,Brett,2015-11-14,"DFW Airport, TX",within a few hours,96%,97%,t,Oak Lawn,16,17,t,t,District 2,Dallas,Entire rental unit,Entire home/apt,2,1 bath,1,1,73,30,365,t,19,25,53,81,3/7/23,38,4,0,4.92,4.92,4.74,5,5,5,4.76,f,9,9,0,0,0.46
10037226,49028930,Brett,2015-11-14,"DFW Airport, TX",within a few hours,96%,97%,t,Oak Lawn,16,17,t,t,District 2,Dallas,Entire condo,Entire home/apt,2,1 bath,1,1,62,30,365,t,0,5,15,222,3/7/23,21,2,0,4.71,4.81,4.38,5,4.95,5,4.71,f,9,9,0,0,0.26
10042361,49028930,Brett,2015-11-14,"DFW Airport, TX",within a few hours,96%,97%,t,Oak Lawn,16,17,t,t,District 2,Dallas,Entire rental unit,Entire home/apt,2,1 bath,1,1,54,30,365,t,0,11,38,244,3/7/23,22,2,0,4.68,4.91,4.64,4.95,4.91,4.95,4.59,f,9,9,0,0,0.27
10306419,12993311,Jan,2014-03-10,"Dallas, TX",within an hour,100%,94%,t,Central Dallas,4,4,t,t,District 2,Dallas,Private room in home,Private room,2,1 private bath,1,1,60,5,100,t,0,0,0,180,3/7/23,44,2,0,4.86,4.84,4.75,4.95,4.95,4.91,4.89,f,4,0,4,0,0.52
15396199,9791021,Scott,2013-11-03,"Dallas, TX",N/A,N/A,0%,f,Oak Lawn,1,1,t,t,District 14,Dallas,Entire townhouse,Entire home/apt,6,2.5 baths,2,2,300,2,7,t,29,59,89,364,3/7/23,3,0,0,5,5,5,5,5,5,5,f,1,1,0,0,0.04
15411661,69524865,Veronica,2016-04-29,N/A,within an hour,90%,86%,t,Oak Cliff,2,2,t,f,District 1,Dallas,Entire home,Entire home/apt,4,1 bath,2,2,99,3,1125,t,0,0,0,62,3/7/23,117,10,0,4.69,4.81,4.86,4.97,4.97,4.58,4.69,f,2,2,0,0,1.51
15420172,4505460,Judy,2012-12-27,"Dallas, TX",within an hour,100%,89%,t,Old Lake Highlands,3,6,t,f,District 9,Dallas,Private room in home,Private room,3,1 shared bath,1,2,40,5,365,t,2,32,62,152,3/7/23,39,4,0,5,4.95,4.92,5,5,4.95,4.97,f,3,0,3,0,0.5
1479800,3809024,Holly,2012-10-09,"Dallas, TX",within an hour,100%,79%,t,Lower Greenville,4,4,t,t,District 14,Dallas,Private room in home,Private room,2,1 private bath,1,1,90,2,1125,t,0,0,0,0,3/7/23,101,0,0,4.93,4.95,4.93,4.93,4.94,4.95,4.8,f,3,0,3,0,0.87
15454467,72184929,Gp,2016-05-15,"Dallas, TX",within an hour,100%,100%,t,Lakewood,1,1,t,t,District 9,Dallas,Entire guest suite,Entire home/apt,2,0 baths,1,1,115,1,1125,t,21,51,81,171,3/7/23,301,40,3,4.86,4.96,4.92,4.94,4.91,4.98,4.87,f,1,1,0,0,3.92
15595790,96993967,Lashonda,2016-09-27,N/A,a few days or more,0%,100%,f,South Central Dallas,2,2,t,t,District 4,Dallas,Private room in rental unit,Private room,4,1 bath,1,2,80,1,1125,t,29,59,89,364,3/7/23,0,0,0,0,0,0,0,0,0,0,t,2,1,1,0,N/A
15665993,96993967,Lashonda,2016-09-27,N/A,a few days or more,0%,100%,f,South Central Dallas,2,2,t,t,District 4,Dallas,Entire home,Entire home/apt,6,1 bath,2,2,86,1,1125,t,30,60,90,365,3/7/23,0,0,0,0,0,0,0,0,0,0,t,2,1,1,0,N/A
10313293,53066413,Jennifer,2016-01-02,"Dallas, TX",N/A,N/A,100%,t,Hillside/University Meadows/Ridge Wood Park/North Stonewall Terrace,1,1,t,f,District 9,Dallas,Entire rental unit,Entire home/apt,2,1 bath,1,2,89,30,1125,t,10,10,10,197,3/7/23,137,4,1,4.93,4.94,4.87,4.99,4.99,4.89,4.92,t,1,1,0,0,1.58
10354464,27836510,Judy,2015-02-16,"Dallas, TX",within an hour,100%,100%,t,Central Dallas,1,2,t,t,District 14,Dallas,Entire home,Entire home/apt,4,1 bath,1,2,110,2,1125,t,22,49,75,350,3/7/23,138,23,2,4.98,4.98,5,4.99,5,4.88,4.96,f,1,1,0,0,1.61
1488809,7961670,Jill,2013-08-05,"Dallas, TX",within an hour,100%,100%,t,Oak Cliff,1,2,t,t,District 1,Dallas,Private room in home,Private room,2,1 bath,1,1,60,1,28,t,1,1,1,67,3/7/23,729,25,0,4.91,4.95,4.88,4.97,4.97,4.81,4.93,f,1,0,1,0,6.34
1507428,6063232,Joan,2013-04-23,"Dallas, TX",within an hour,100%,100%,f,Central Dallas,11,11,t,t,District 14,Dallas,Entire rental unit,Entire home/apt,1,1 bath,1,1,78,3,1125,t,0,0,16,291,3/7/23,66,5,0,4.64,4.76,4.74,4.95,4.85,4.86,4.58,f,11,11,0,0,0.57
10573546,37054522,Mark,2015-06-29,"Dallas, TX",within an hour,100%,95%,t,Oak Lawn,1,1,t,t,District 14,Dallas,Entire guesthouse,Entire home/apt,2,1 bath,1,1,165,1,7,t,16,42,72,72,3/7/23,211,24,2,4.96,4.98,4.97,4.99,5,5,4.91,f,1,1,0,0,2.49
10593020,6211771,Frances,2013-05-03,"Dallas, TX",within a few hours,100%,100%,t,White Rock East,1,1,t,t,District 9,Dallas,Entire rental unit,Entire home/apt,3,1 bath,1,1,84,28,1125,t,0,30,34,235,3/7/23,35,6,1,5,4.97,5,5,5,4.91,5,f,1,1,0,0,0.41
15708430,2770842,Ericka,2012-06-28,"Dallas, TX",within an hour,100%,96%,t,White Rock Hills,2,2,t,t,District 7,Dallas,Private room in home,Private room,1,1 private bath,1,1,37,1,1125,t,23,23,23,88,3/7/23,68,30,6,4.96,4.97,4.96,5,4.97,4.85,4.99,f,1,0,1,0,0.89
15753501,6063232,Joan,2013-04-23,"Dallas, TX",within an hour,100%,100%,f,Central Dallas,11,11,t,t,District 14,Dallas,Entire rental unit,Entire home/apt,3,1 bath,1,1,113,3,180,t,29,59,89,364,3/7/23,18,2,0,4.72,4.94,4.94,4.94,4.78,4.94,4.83,t,11,11,0,0,0.24
10766446,10603454,Jerod,2013-12-13,"Dallas, TX",within an hour,100%,100%,f,Central Dallas,1,1,t,t,District 9,Dallas,Entire guesthouse,Entire home/apt,2,1 bath,1,1,60,1,90,t,22,41,41,102,3/7/23,29,29,1,4.76,4.72,4.83,4.9,4.83,4.79,4.86,f,1,1,0,0,2.46
1627338,3932821,Greg,2012-10-21,"Texas, United States",N/A,N/A,N/A,f,White Rock East,4,4,t,t,District 9,Dallas,Entire home,Entire home/apt,2,1 bath,1,1,35,60,365,f,0,0,0,0,3/7/23,0,0,0,0,0,0,0,0,0,0,f,2,2,0,0,N/A
1774599,3932821,Greg,2012-10-21,"Texas, United States",N/A,N/A,N/A,f,White Rock East,4,4,t,t,District 14,Dallas,Entire rental unit,Entire home/apt,2,1 bath,1,1,40,24,1125,f,0,0,0,0,3/7/23,48,0,0,4.42,4.62,3.94,4.74,4.91,4.32,4.77,f,2,2,0,0,0.42
1826550,9557710,Jeff,2013-10-21,"Dallas, TX",within an hour,100%,99%,t,Downtown,4,5,t,t,District 14,Dallas,Private room in townhouse,Private room,3,1 private bath,1,1,84,1,1125,t,7,22,32,65,3/7/23,572,61,4,4.94,4.97,4.97,4.98,4.98,4.9,4.92,t,4,1,3,0,5.06
11136470,1237905,Manuel,2011-10-02,"Dallas, TX",within an hour,90%,100%,f,Lake Highlands,3,3,t,t,District 10,Dallas,Entire condo,Entire home/apt,2,1 bath,1,1,90,14,180,t,1,31,61,336,3/7/23,47,4,0,4.85,4.94,4.77,5,5,4.72,4.87,f,3,2,1,0,0.55
15769743,201570,Evie,2010-08-14,"Austin, TX",within an hour,100%,100%,t,Central Dallas,1,2,t,t,District 2,Dallas,Entire townhouse,Entire home/apt,10,2.5 baths,2,2,156,2,60,t,8,27,49,229,3/7/23,285,67,5,4.75,4.79,4.74,4.88,4.9,4.81,4.77,f,1,1,0,0,3.73
1832427,9557710,Jeff,2013-10-21,"Dallas, TX",within an hour,100%,99%,t,Downtown,4,5,t,t,District 2,Dallas,Entire townhouse,Entire home/apt,8,3.5 baths,3,3,350,2,1125,t,13,27,43,134,3/7/23,151,19,0,4.99,4.99,4.94,4.99,5,4.95,4.97,f,4,1,3,0,1.37
1856710,3809024,Holly,2012-10-09,"Dallas, TX",within an hour,100%,79%,t,Lower Greenville,4,4,t,t,District 14,Dallas,Private room in home,Private room,1,1 shared bath,1,1,85,2,1125,t,29,59,89,364,3/7/23,39,3,1,4.77,4.95,4.97,4.97,4.97,5,4.84,f,3,0,3,0,0.34
11370969,21699077,Elizabeth,2014-09-23,"Dallas, TX",within an hour,100%,99%,t,Old East Dallas,8,8,t,t,District 2,Dallas,Entire rental unit,Entire home/apt,2,1 bath,1,1,92,2,1125,t,0,18,48,323,3/7/23,67,8,0,4.79,4.81,4.9,4.91,4.91,4.8,4.77,t,2,2,0,0,0.79
11438478,43889052,Israel,2015-09-10,"Dallas, TX",within a day,100%,100%,t,Oak Lawn,4,7,t,f,District 2,Dallas,Private room in home,Private room,2,1 private bath,1,1,45,31,137,t,0,0,0,32,3/7/23,76,3,0,4.97,4.95,4.88,4.92,4.95,4.88,4.83,f,4,3,1,0,1.05
1864741,9723429,Carrie,2013-10-30,"Dallas, TX",within an hour,90%,99%,t,Oak Cliff,1,2,t,t,District 1,Dallas,Entire guesthouse,Entire home/apt,4,1 bath,1,1,92,1,1125,t,2,2,2,2,3/7/23,184,42,3,4.83,4.88,4.77,4.97,4.97,4.89,4.87,f,1,1,0,0,1.83
11444644,47650530,Ray,2015-10-28,United States,within an hour,80%,100%,f,Oak Lawn,1,2,t,t,District 2,Dallas,Entire rental unit,Entire home/apt,4,2 baths,2,2,54,30,1125,t,0,30,45,252,3/7/23,52,4,0,4.4,4.64,4.2,4.86,4.84,4.61,4.47,t,1,1,0,0,0.61
11498438,16783105,Mike,2014-06-14,"Dallas, TX",within an hour,100%,80%,t,North Central Dallas,7,7,t,t,District 11,Dallas,Entire condo,Entire home/apt,2,1 bath,1,1,65,10,1125,t,7,16,46,321,3/7/23,40,0,0,4.83,4.9,4.78,4.9,4.95,4.88,4.73,f,7,7,0,0,0.49
11510807,37273366,City,2015-07-01,"Dallas, TX",within an hour,100%,96%,t,Oak Lawn,3,3,t,t,District 14,Dallas,Entire townhouse,Entire home/apt,8,3.5 baths,3,3,244,2,1125,t,18,38,60,331,3/7/23,95,13,0,4.92,4.95,4.88,4.95,4.97,4.95,4.88,f,3,3,0,0,1.31
11533190,16783105,Mike,2014-06-14,"Dallas, TX",within an hour,100%,80%,t,North Central Dallas,7,7,t,t,District 11,Dallas,Entire condo,Entire home/apt,2,1 bath,1,1,65,10,1125,t,0,0,4,279,3/7/23,45,8,0,4.87,4.8,4.87,4.96,4.98,4.96,4.84,f,7,7,0,0,0.56
15804483,971049,C,2011-08-14,"Dallas, TX",within an hour,100%,56%,f,N/A,1,4,t,t,District 13,Dallas,Entire home,Entire home/apt,4,1 bath,2,2,130,6,1125,t,10,30,55,330,3/7/23,30,7,1,4.54,4.75,4.43,4.89,4.89,4.85,4.63,f,1,1,0,0,0.39
15804640,60226438,Jesse,2016-02-24,"Dallas, TX",within an hour,91%,98%,t,Central Dallas,5,5,t,t,District 2,Dallas,Entire bungalow,Entire home/apt,2,1 bath,1,1,97,2,10,t,20,50,80,256,3/7/23,180,20,0,4.92,4.97,4.92,4.99,4.99,4.98,4.88,f,5,5,0,0,2.35
2021378,10389383,Steve,2013-12-02,"Dallas, TX",within a day,50%,100%,f,Belmont,3,3,t,t,District 14,Dallas,Private room in townhouse,Private room,2,1.5 baths,1,2,139,30,365,t,29,59,89,299,3/7/23,32,0,0,5,5,4.93,4.93,4.97,4.9,4.87,f,3,0,3,0,0.29
2082487,6063232,Joan,2013-04-23,"Dallas, TX",within an hour,100%,100%,f,Central Dallas,11,11,t,t,District 14,Dallas,Entire rental unit,Entire home/apt,3,1 bath,1,1,92,3,1125,t,0,12,42,317,3/7/23,60,0,0,4.55,4.55,4.69,4.9,4.75,4.9,4.47,f,11,11,0,0,0.54
15868576,102864844,Christina,2016-11-07,"Dallas, TX",within an hour,100%,97%,t,Northeast Dallas,4,4,t,t,District 14,Dallas,Entire condo,Entire home/apt,2,1 bath,1,1,90,20,1125,t,2,15,20,226,3/7/23,40,11,1,4.88,4.95,4.93,5,4.95,4.93,4.88,f,2,2,0,0,0.52
2169463,11067935,Thierry,2014-01-06,N/A,N/A,N/A,13%,f,Glen Meadow/Westhollow/Northhaven Park,1,1,t,f,District 13,Dallas,Private room in bed and breakfast,Private room,4,2 baths,1,3,85,1,1125,t,23,53,83,358,3/7/23,42,1,0,4.79,4.83,4.64,4.83,4.83,4.93,4.83,f,1,0,1,0,0.39
15882537,25173150,Hayden,2014-12-24,"Dallas, TX",a few days or more,0%,11%,f,Greenway Parks,1,1,f,f,District 13,Dallas,Private room in home,Private room,1,1 bath,1,1,70,1,5,t,29,59,89,179,3/7/23,0,0,0,0,0,0,0,0,0,0,f,1,0,1,0,N/A
11551096,60978791,Charles,2016-02-29,N/A,within an hour,100%,100%,t,North Dallas,1,1,t,t,District 11,Dallas,Entire guesthouse,Entire home/apt,2,1 bath,1,2,123,2,35,t,14,24,50,137,3/7/23,69,49,1,4.88,4.91,4.87,4.97,4.99,4.97,4.93,t,1,1,0,0,4.2
11606945,61431187,John,2016-03-03,"Dallas, TX",within an hour,100%,78%,f,N/A,1,1,t,f,District 11,Dallas,Entire guesthouse,Entire home/apt,2,1 bath,1,1,107,2,1125,t,0,6,18,239,3/7/23,47,3,0,4.7,4.83,4.85,4.89,4.83,5,4.74,f,1,1,0,0,0.56
15988676,47783364,Adam,2015-10-30,"Dallas, TX",N/A,N/A,91%,t,Northeast Dallas,3,8,t,t,District 14,Dallas,Entire condo,Entire home/apt,3,2 baths,2,4,75,30,1125,t,0,0,0,0,3/7/23,21,2,0,4.85,4.85,4.7,5,4.85,4.9,4.85,f,2,2,0,0,0.27
16034538,101555838,Shelley,2016-10-27,"Dallas, TX",N/A,N/A,N/A,f,N/A,1,1,t,f,District 13,Dallas,Private room in guest suite,Private room,1,3.5 baths,1,3,699,3,1125,f,0,0,0,0,3/7/23,1,0,0,5,5,5,5,5,5,5,f,1,0,1,0,0.01
16124597,73227695,Aj,2016-05-21,"Dallas, TX",within an hour,100%,98%,t,South Dallas,13,14,t,t,District 14,Dallas,Entire townhouse,Entire home/apt,9,2.5 baths,2,2,177,1,1125,t,21,48,78,173,3/7/23,234,71,5,4.77,4.84,4.6,4.87,4.91,4.91,4.76,f,6,3,3,0,3.1
2537593,12993311,Jan,2014-03-10,"Dallas, TX",within an hour,100%,94%,t,Central Dallas,4,4,t,t,District 2,Dallas,Private room in home,Private room,2,1 shared bath,1,1,65,5,1125,t,25,31,40,254,3/7/23,50,2,0,4.88,4.9,4.78,5,4.92,4.65,4.84,f,4,0,4,0,0.46
16175103,59509385,Jeremy,2016-02-19,"Austin, TX",within an hour,97%,100%,t,Oak Cliff,16,19,t,t,District 1,Dallas,Shared room in home,Shared room,1,1 shared bath,1,1,24,1,29,t,0,0,0,0,3/7/23,170,29,0,4.91,4.95,4.95,4.99,4.96,4.85,4.89,f,9,0,3,6,2.23
11639642,249111,Carolyn,2010-09-29,"Dallas, TX",within an hour,100%,100%,f,Lower Greenville,1,1,t,t,District 2,Dallas,Entire rental unit,Entire home/apt,2,1 bath,1,1,59,30,180,t,0,22,24,58,3/7/23,23,3,0,4.96,4.96,4.96,5,5,4.91,4.91,f,1,1,0,0,0.85
11656994,49028930,Brett,2015-11-14,"DFW Airport, TX",within a few hours,96%,97%,t,Oak Lawn,16,17,t,t,District 2,Dallas,Entire rental unit,Entire home/apt,2,1.5 baths,2,1,65,30,365,t,0,21,47,254,3/7/23,7,2,0,4.86,5,4.71,5,4.86,5,4.86,f,9,9,0,0,0.09
2707172,12321313,Judith,2014-02-17,"Dallas, TX",within a day,100%,100%,f,Bent Tree,3,3,t,t,District 12,Dallas,Private room in home,Private room,2,1 private bath,1,1,78,1,1125,t,29,59,89,364,3/7/23,14,3,0,4.43,4.5,4.71,4.46,4.29,4.46,4.23,f,2,0,2,0,0.15
11674489,31101090,Lupe,2015-04-12,"Dallas, TX",within an hour,100%,100%,f,Oak Cliff,2,2,t,t,District 1,Dallas,Entire rental unit,Entire home/apt,3,1 bath,1,2,71,2,21,t,10,31,56,130,3/7/23,247,47,3,4.6,4.77,4.59,4.91,4.85,4.89,4.74,t,2,2,0,0,3.77
11757739,43889052,Israel,2015-09-10,"Dallas, TX",within a day,100%,100%,t,Oak Lawn,4,7,t,f,District 2,Dallas,Entire home,Entire home/apt,5,2 baths,2,2,110,4,300,t,0,0,1,219,3/7/23,170,16,0,4.88,4.91,4.78,4.96,4.93,4.77,4.87,f,4,3,1,0,2.01
16239694,5742868,Tom And Diane,2013-04-02,"Dallas, TX",within an hour,100%,56%,f,North Central Dallas,1,1,t,t,District 13,Dallas,Entire home,Entire home/apt,8,4 baths,4,4,990,2,365,t,25,52,79,343,3/7/23,24,3,0,5,5,5,5,5,5,5,f,1,1,0,0,0.34
16299009,43042344,Heath,2015-08-31,"Dallas, TX",within an hour,100%,100%,f,Old East Dallas,311,333,t,t,District 2,Dallas,Entire rental unit,Entire home/apt,2,1 bath,1,1,67,4,1125,t,12,42,72,347,3/7/23,158,33,0,4.39,4.44,4.51,4.78,4.68,4.6,4.4,f,155,155,0,0,2.09
16353509,605717,Leonard,2011-05-19,"McGuire Air Force Base, NJ",within an hour,97%,100%,t,Central Dallas,3,3,t,t,District 14,Dallas,Entire rental unit,Entire home/apt,3,1 bath,1,1,70,1,1125,t,4,11,22,274,3/7/23,927,162,9,4.7,4.8,4.81,4.88,4.9,4.91,4.74,f,3,3,0,0,12.28
16365346,78199259,Minh,2016-06-17,"Frisco, TX",within an hour,100%,95%,t,Oak Lawn,4,6,t,t,District 14,Dallas,Entire condo,Entire home/apt,5,2 baths,2,2,166,30,1125,t,0,0,7,133,3/7/23,24,0,0,4.88,4.79,4.96,4.91,5,5,4.87,f,4,4,0,0,0.32
2745099,14042475,Mina,2014-04-08,"Pearland, TX",within a few hours,100%,N/A,f,Southeast Dallas,1,6,t,t,District 7,Dallas,Private room in home,Private room,4,1 private bath,2,2,40,31,1025,t,0,0,4,236,3/7/23,30,0,0,4.93,4.97,4.9,5,4.97,4.87,4.97,f,1,0,1,0,0.29
16405547,885061,Roberto,2011-07-28,"Dallas, TX",within a few hours,100%,98%,t,Bryan Square,4,7,t,t,District 7,Dallas,Entire home,Entire home/apt,5,2 baths,2,2,103,3,1125,t,8,8,9,30,3/7/23,54,12,1,4.69,4.8,4.69,4.85,4.91,4.91,4.83,f,3,3,0,0,0.73
16418235,2592644,Mike & Adriana,2012-06-10,"Dallas, TX",within an hour,100%,97%,t,South Central Dallas,9,20,t,t,District 8,Dallas,Private room in home,Private room,8,1.5 shared baths,1,5,54,2,165,t,30,59,89,179,3/7/23,52,1,1,4.94,4.94,4.88,4.94,4.94,4.87,4.94,f,4,1,3,0,0.69
