id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
25028,102862,Elana,2010-04-03,"Austin, TX",within a day,100%,91%,t,Brentwood,2,3,t,t,Austin,78757,Entire bungalow,Entire home/apt,4,N/A,1 bath,2,2,221.00,120,365,t,0,0,0,123,35,0,0,4.94,5,4.93,5,4.96,4.74,4.93,f,2,2,0,0,0.22
40285,170787,Robbie,2010-07-18,"Austin, TX",within a few hours,100%,86%,f,Northwest Hills,1,1,t,f,Austin,78731,Entire home,Entire home/apt,4,N/A,2 baths,2,2,450.00,2,30,t,17,47,77,348,37,3,0,4.92,4.94,4.94,4.97,4.97,4.91,4.8,f,1,1,0,0,0.25
47572,215917,Belinda,2010-08-28,"Austin, TX",within a few hours,100%,100%,t,N/A,1,1,t,t,Austin,78758,Private room in home,Private room,1,N/A,1 shared bath,1,1,43.00,30,120,t,13,42,53,219,7,1,0,5,5,5,5,5,5,5,f,1,0,1,0,0.14
50318,12409,Flip,2009-04-06,"Austin, TX",within a few hours,100%,94%,t,West Campus,2,30,t,t,Austin,78705,Entire condo,Entire home/apt,2,N/A,1 bath,2,3,136.00,30,1125,t,6,6,6,134,33,2,0,4.88,4.72,4.76,5,4.97,4.83,4.79,f,2,2,0,0,0.22
57187,272156,Lois,2010-10-27,"Austin, TX",within an hour,100%,100%,t,Zilker,2,2,t,t,Austin,78704,Entire guesthouse,Entire home/apt,6,N/A,1 bath,1,3,109.00,1,15,t,12,30,52,326,955,103,6,4.91,4.94,4.93,4.96,4.96,4.95,4.82,f,2,2,0,0,6.43
69303,272156,Lois,2010-10-27,"Austin, TX",within an hour,100%,100%,t,Zilker,2,2,t,t,Austin,78704,Entire condo,Entire home/apt,4,N/A,1.5 baths,1,1,181.00,2,90,t,11,24,54,306,213,49,4,4.97,4.96,4.99,5,5,4.96,4.82,t,2,2,0,0,1.47
69810,82762,Dolina,2010-02-18,"Austin, TX",N/A,N/A,N/A,f,Dawson,1,1,t,t,Austin,78704,Entire guesthouse,Entire home/apt,2,N/A,1 bath,1,1,134.00,2,730,t,0,0,0,0,446,0,0,4.98,4.98,5,4.99,4.99,4.8,4.95,f,1,1,0,0,3.04
70258,355348,Jason,2011-01-20,"Austin, TX",within an hour,100%,25%,f,Galindo,1,2,t,t,Austin,78704,Entire guesthouse,Entire home/apt,3,N/A,1 bath,1,1,239.00,2,28,t,12,12,12,12,36,0,0,4.94,4.97,4.86,4.94,4.89,4.92,4.72,f,1,1,0,0,0.54
70812,268988,Stephanie,2010-10-23,"Austin, TX",within a few hours,100%,71%,t,South Congress,1,2,t,t,Austin,78704,Entire guesthouse,Entire home/apt,3,N/A,1 bath,1,3,165.00,2,30,t,0,14,44,44,175,12,1,4.89,4.94,4.89,4.99,4.92,4.95,4.82,f,1,1,0,0,1.2
72833,378744,Ellen And Andy,2011-02-05,"Austin, TX",within an hour,100%,100%,t,Rosedale,1,1,t,t,Austin,78731,Entire guesthouse,Entire home/apt,2,N/A,1 bath,1,1,132.00,3,60,t,5,5,5,5,412,25,2,4.91,4.92,4.9,4.96,4.96,4.9,4.91,f,1,1,0,0,2.82
73005,128514,Vivian,2010-05-20,"Austin, TX",within a few hours,100%,80%,f,Angus Valley,2,2,t,t,Austin,78727,Entire townhouse,Entire home/apt,6,N/A,2.5 baths,2,4,297.00,4,1125,t,0,18,48,137,44,4,0,4.89,4.88,4.74,4.93,4.95,4.79,4.81,f,1,1,0,0,0.3
73289,382510,Christina,2011-02-08,N/A,within an hour,100%,82%,t,West Campus,2,2,t,t,Austin,78705,Entire rental unit,Entire home/apt,4,N/A,2 baths,2,2,111.00,30,1125,t,0,4,19,67,59,4,0,4.88,4.89,4.84,4.93,4.93,4.91,4.91,f,2,2,0,0,0.4
74318,387918,Amy & Justin,2011-02-11,"Austin, TX",within an hour,83%,83%,t,South Lamar,3,3,t,f,Austin,78704,Entire home,Entire home/apt,2,N/A,1 bath,1,1,194.00,2,1825,t,0,0,0,0,251,12,0,4.82,4.86,4.85,4.97,4.92,4.86,4.8,f,2,2,0,0,1.72
75957,404260,Kelly,2011-02-22,"Austin, TX",within an hour,100%,91%,t,Tarrytown,2,2,t,t,Austin,78703,Entire guesthouse,Entire home/apt,2,N/A,1 bath,1,2,163.00,2,30,t,20,36,51,191,424,49,3,4.97,4.98,4.96,4.99,4.98,4.96,4.94,f,2,2,0,0,2.9
76501,408534,Kevin And Bob,2011-02-24,"Austin, TX",within an hour,100%,94%,t,Upper Boggy Creek,1,1,t,t,Austin,78722,Entire guest suite,Entire home/apt,3,N/A,1 bath,1,2,144.00,2,91,t,10,18,48,48,222,16,2,4.95,4.95,4.88,4.99,4.99,4.89,4.95,f,1,1,0,0,1.51
76911,394012,Cole,2011-02-15,"Austin, TX",within an hour,100%,100%,f,East Downtown,1,1,t,t,Austin,78702,Entire home,Entire home/apt,14,N/A,3 baths,5,14,893.00,2,1125,t,1,8,26,148,196,27,1,4.95,4.95,4.89,4.99,4.99,4.93,4.89,f,1,1,0,0,2.03
76925,411190,Lynn,2011-02-26,"Austin, TX",N/A,N/A,N/A,f,Holly,1,1,t,t,Austin,78702,Entire home,Entire home/apt,8,N/A,2 baths,3,5,400.00,2,8,t,0,0,0,0,16,0,0,4.94,4.81,4.88,5,4.88,4.5,4.63,f,1,1,0,0,0.11
77347,382265,Leslie,2011-02-08,"Austin, TX",N/A,N/A,N/A,f,N/A,1,9,t,t,Austin,78733,Private room in home,Private room,2,N/A,1 private bath,1,1,104.00,2,14,f,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,f,1,0,1,0,N/A
77639,416628,Carlos,2011-03-01,"Austin, TX",within a day,100%,71%,t,Zilker,1,4,t,t,Austin,78704,Entire home,Entire home/apt,4,N/A,1 bath,2,2,179.00,2,730,t,19,49,57,325,53,14,0,4.69,4.69,4.65,4.96,4.88,5,4.67,f,1,1,0,0,0.52
78035,419192,Keith And Shannon,2011-03-02,"Austin, TX",within an hour,100%,100%,t,Zilker,3,3,t,t,Austin,78704,Entire home,Entire home/apt,8,N/A,3 baths,4,4,"1,143.00",4,120,t,0,0,15,122,91,1,0,4.99,4.98,4.93,5,4.98,4.96,4.78,f,2,2,0,0,1.24
78127,419707,Julia,2011-03-02,"Austin, TX",N/A,N/A,N/A,f,Downtown,3,4,t,t,Austin,78701,Entire home,Entire home/apt,6,N/A,1 bath,3,4,240.00,1,7,t,0,0,0,0,6,0,0,4.2,4.17,4.83,4.67,4.17,4.67,4,f,3,3,0,0,0.04
78422,421002,E. Dixie,2011-03-03,"Austin, TX",within an hour,100%,87%,t,MLK & 183,2,2,t,t,Austin,78702,Entire home,Entire home/apt,6,N/A,1 bath,3,4,79.00,4,60,t,0,4,14,108,11,5,0,4.82,5,4.82,5,5,4.55,4.91,f,1,1,0,0,0.08
78731,423131,Robin,2011-03-04,"Austin, TX",within an hour,100%,100%,f,East Downtown,2,2,t,t,Austin,78702,Private room in home,Private room,2,N/A,1 private bath,1,1,120.00,3,28,t,4,26,56,145,215,30,0,4.98,4.97,5,5,4.98,4.98,4.9,f,2,0,2,0,1.61
78884,2157243,Sean,2012-04-17,"Austin, TX",within an hour,100%,100%,t,Barton Hills,8,19,t,t,Austin,78704,Entire rental unit,Entire home/apt,2,N/A,1 bath,N/A,2,148.00,2,90,t,0,0,0,0,190,20,1,4.77,4.79,4.86,4.95,4.95,4.96,4.75,t,8,8,0,0,1.3
79100,425706,Robert,2011-03-06,"Austin, TX",within an hour,100%,97%,t,Windsor Park,12,33,t,f,Austin,78723,Entire guesthouse,Entire home/apt,2,N/A,1 bath,1,1,127.00,30,90,t,7,37,67,67,38,6,0,4.97,4.95,4.89,4.89,5,4.86,4.86,t,4,4,0,0,0.31
79768,430091,Shawn,2011-03-08,"Austin, TX",N/A,N/A,N/A,f,East Downtown,2,2,t,t,Austin,78702,Entire bungalow,Entire home/apt,4,N/A,1 bath,2,3,225.00,4,30,t,0,0,0,0,34,0,0,4.71,4.72,4.63,4.87,4.82,4.67,4.52,t,2,2,0,0,0.24
82033,445746,Kimberly,2011-03-16,N/A,N/A,N/A,50%,f,Windsor Park,1,1,t,f,Austin,78723,Entire home,Entire home/apt,12,N/A,2 baths,3,4,357.00,2,30,t,30,60,90,179,4,0,0,4.25,4.25,4.75,5,5,5,5,f,1,1,0,0,0.07
83643,456230,Michele,2011-03-22,"Austin, TX",within a few hours,100%,92%,t,Highland,1,1,t,t,Austin,78752,Private room in home,Private room,2,N/A,1 shared bath,1,1,77.00,2,14,t,16,32,62,334,259,33,4,4.96,4.96,4.94,5,4.99,4.87,4.92,f,1,0,1,0,1.85
84771,321037,Lucien,2010-12-17,"Austin, TX",N/A,N/A,N/A,f,West Campus,2,3,t,t,Austin,78705,Entire condo,Entire home/apt,4,N/A,1 bath,1,1,81.00,2,30,t,0,0,0,0,16,0,0,4.67,4.25,4.75,4.92,4.92,4.83,4.58,t,2,2,0,0,0.24
89475,487072,Greg & Amanda,2011-04-05,"Austin, TX",within an hour,100%,94%,t,Wooten,12,18,t,f,Austin,78757,Entire home,Entire home/apt,8,N/A,2 baths,4,5,341.00,45,365,t,0,0,0,101,118,2,0,4.85,4.89,4.86,4.98,4.97,4.85,4.91,f,12,12,0,0,0.92
90898,236847,Lester,2010-09-16,"Austin, TX",within a day,80%,62%,f,Travis Heights,2,3,t,t,Austin,78704,Entire home,Entire home/apt,6,N/A,1 bath,2,3,203.00,1,1125,t,27,55,85,358,112,8,0,4.72,4.78,4.42,4.9,4.86,4.89,4.61,f,2,1,1,0,0.78
90957,236847,Lester,2010-09-16,"Austin, TX",within a day,80%,62%,f,Travis Heights,2,3,t,t,Austin,78704,Private room in home,Private room,3,N/A,1 shared bath,1,2,84.00,1,365,t,27,55,85,360,5,2,0,4.6,4.75,4.25,5,4.75,5,4,f,2,1,1,0,0.04
104099,213651,Daniel,2010-08-26,"Austin, TX",within an hour,100%,98%,t,Zilker,2,2,t,t,Austin,78704,Entire guest suite,Entire home/apt,4,N/A,1 bath,1,2,137.00,1,30,t,20,44,74,74,236,40,3,4.88,4.97,4.83,4.95,4.94,4.96,4.85,f,2,2,0,0,1.69
104386,543367,Mary,2011-04-28,"Austin, TX",within an hour,100%,100%,t,Galindo,2,2,t,t,"Austin Texas, United States",78704,Entire home,Entire home/apt,4,N/A,1 bath,2,3,150.00,31,180,t,8,8,8,252,138,3,0,4.97,4.98,4.99,4.99,4.99,4.79,4.85,f,2,2,0,0,0.96
104394,543424,Jill,2011-04-28,"Austin, TX",within a few hours,100%,100%,f,Cherry Creek,1,4,t,t,Austin,78745,Private room in bed and breakfast,Private room,2,N/A,1.5 baths,1,1,56.00,29,90,t,4,4,19,66,74,0,0,4.61,4.74,4.63,4.81,4.77,4.57,4.73,f,1,0,1,0,0.51
113779,578211,Pete,2011-05-11,"Austin, TX",within an hour,100%,100%,t,Hyde Park,10,10,t,t,Austin,78751,Entire bungalow,Entire home/apt,2,N/A,1 bath,1,1,127.00,20,365,t,0,15,45,320,98,7,1,4.87,4.88,4.91,4.97,4.99,4.94,4.71,f,10,10,0,0,0.72
116014,419707,Julia,2011-03-02,"Austin, TX",N/A,N/A,N/A,f,Downtown,3,4,t,t,Austin,78701,Entire home,Entire home/apt,5,N/A,1 bath,3,3,259.00,1,15,t,0,0,0,0,2,0,0,5,5,5,5,5,5,5,t,3,3,0,0,0.01
128326,634580,Morrie And Rachel,2011-05-27,"Austin, TX",within a day,100%,67%,t,N/A,3,4,t,t,Austin,78736,Entire home,Entire home/apt,6,N/A,2 baths,3,3,289.00,3,365,t,20,36,54,299,83,13,0,4.94,4.9,4.9,4.99,4.99,4.94,4.83,f,1,1,0,0,0.59
140474,578211,Pete,2011-05-11,"Austin, TX",within an hour,100%,100%,t,Hyde Park,10,10,t,t,Austin,78751,Entire bungalow,Entire home/apt,4,N/A,1 bath,2,3,249.00,20,365,t,11,41,71,346,87,6,0,4.89,4.84,4.97,4.97,4.97,4.97,4.86,f,10,10,0,0,0.63
140504,578211,Pete,2011-05-11,"Austin, TX",within an hour,100%,100%,t,Hyde Park,10,10,t,t,Austin,78751,Entire bungalow,Entire home/apt,2,N/A,1 bath,1,1,218.00,20,365,t,0,8,38,313,95,12,1,4.91,4.95,4.94,4.96,4.93,4.98,4.81,f,10,10,0,0,0.68
145210,475506,Dan,2011-03-31,"Austin, TX",within a day,86%,67%,f,University of Texas,1,3,t,t,Austin,78705,Entire guesthouse,Entire home/apt,2,N/A,1 bath,1,1,150.00,30,365,t,0,20,50,112,206,4,0,4.9,4.93,4.98,4.96,4.95,4.85,4.83,f,1,1,0,0,1.64
155359,372205,Keith,2011-02-01,"Austin, TX",within a day,70%,82%,f,N/A,2,3,t,t,Austin,78732,Entire home,Entire home/apt,6,N/A,2.5 baths,2,2,400.00,7,830,t,0,15,32,32,34,1,0,4.87,4.83,4.79,5,4.97,4.97,4.64,f,2,2,0,0,0.25
158398,760426,Lis,2011-06-29,"Austin, TX",within an hour,100%,100%,f,Barton Hills,2,2,t,t,Austin,78704,Entire home,Entire home/apt,7,N/A,3 baths,4,4,899.00,4,30,t,5,16,38,180,17,1,0,4.82,4.75,4.94,4.94,4.94,4.81,4.69,f,1,1,0,0,0.13
167459,628942,Marnie,2011-05-26,"Austin, TX",within a day,100%,0%,f,Rollingwood,1,2,t,f,"West Lake Hills, Texas, United States",78746,Entire home,Entire home/apt,8,N/A,3 baths,4,4,800.00,3,14,t,28,58,88,363,8,0,0,4.63,4.86,4.57,4.71,4.43,4.71,4.57,f,1,1,0,0,0.06
174828,835236,Jenny,2011-07-18,"Austin, TX",within an hour,100%,100%,t,Highland,2,3,t,t,Austin,78752,Entire home,Entire home/apt,10,N/A,2 baths,4,4,455.00,2,365,t,16,43,65,201,367,26,1,4.89,4.85,4.9,4.97,4.98,4.62,4.79,t,1,1,0,0,2.62
184853,518748,Rachel,2011-04-18,"New Orleans, LA",within a day,100%,58%,t,South Lamar,2,6,t,t,Austin,78704,Entire home,Entire home/apt,4,N/A,1.5 baths,2,2,138.00,30,730,t,0,24,54,143,7,4,0,5,5,5,5,5,5,5,f,2,2,0,0,0.15
195674,951551,Lori,2011-08-10,"Austin, TX",within an hour,100%,60%,f,Zilker,1,1,t,t,Austin,78704,Entire home,Entire home/apt,10,N/A,2.5 baths,4,5,821.00,2,7,t,27,57,87,350,39,3,0,4.95,4.87,4.71,4.95,4.97,4.92,4.65,f,1,1,0,0,0.32
202187,989596,John,2011-08-18,"Austin, TX",within an hour,100%,100%,t,Travis Heights,2,2,t,t,Austin,78704,Entire guesthouse,Entire home/apt,2,N/A,1 bath,1,2,72.00,1,30,t,2,10,18,197,943,83,6,4.87,4.94,4.84,4.96,4.93,4.98,4.89,t,2,2,0,0,6.75
202753,729047,Tracy,2011-06-21,"Austin, TX",within an hour,100%,100%,f,Clarksville,1,1,t,t,Austin,78703,Private room in loft,Private room,2,N/A,1 private bath,1,1,200.00,3,30,t,27,57,87,87,14,1,0,5,4.93,5,5,5,5,4.79,t,1,0,1,0,0.23
207054,1018853,Merri Gale & Donald,2011-08-25,"Austin, TX",within an hour,100%,100%,t,East Riverside,1,1,t,t,Austin,78741,Entire guest suite,Entire home/apt,5,N/A,1 bath,2,2,163.00,3,90,t,19,43,73,73,200,25,2,4.9,4.91,4.89,4.96,4.88,4.84,4.78,t,1,1,0,0,1.44
208897,1029071,Suzanne,2011-08-28,"Austin, TX",within an hour,100%,94%,t,Govalle,1,1,t,t,Austin,78702,Entire home,Entire home/apt,8,N/A,1 bath,3,3,212.00,2,60,t,18,45,75,165,139,29,3,4.96,4.95,4.96,4.99,4.98,4.84,4.86,t,1,1,0,0,1.27
210834,1039968,Megan,2011-08-30,"Austin, TX",within a day,100%,58%,t,Travis Heights,2,4,t,t,Austin,78704,Entire home,Entire home/apt,7,N/A,2.5 baths,3,5,718.00,3,183,t,0,0,0,0,19,15,0,4.89,4.84,4.68,5,5,5,4.58,f,2,2,0,0,0.16
218402,1129520,Paulette,2011-09-08,"Austin, TX",within a day,100%,0%,t,N/A,1,2,t,t,Austin,78754,Private room in home,Private room,1,N/A,1 private bath,1,1,30.00,28,365,t,0,0,0,258,27,2,0,4.72,4.81,4.93,4.89,4.74,4.63,4.78,f,1,0,1,0,0.2
219168,1134580,Kalu,2011-09-09,"Austin, TX",N/A,N/A,N/A,f,Travis Heights,1,1,t,t,Austin,78704,Entire rental unit,Entire home/apt,2,N/A,1 bath,N/A,1,250.00,2,60,t,0,0,0,0,8,0,0,4.88,4.63,4.5,4.88,4.75,4.88,4.88,f,1,1,0,0,0.06
222986,1157982,Lyon,2011-09-14,"Austin, TX",within a few hours,100%,81%,t,East Downtown,5,6,t,t,Austin,78702,Entire home,Entire home/apt,8,N/A,2 baths,3,3,500.00,20,90,t,19,37,67,246,53,0,0,4.96,4.96,5,4.96,4.91,4.68,4.72,f,5,5,0,0,0.38
224603,1169129,David And Kristy,2011-09-16,"Austin, TX",within a day,100%,70%,t,Hyde Park,2,2,t,f,Austin,78751,Entire guesthouse,Entire home/apt,2,N/A,1 bath,N/A,1,112.00,30,365,t,0,0,0,214,114,1,0,4.94,4.95,4.96,5,4.99,4.89,4.87,f,2,2,0,0,0.82
227372,51183342,Hunter,2015-12-13,"Austin, TX",within an hour,86%,95%,t,South Congress,25,34,t,t,Austin,78704,Entire home,Entire home/apt,16,N/A,2.5 baths,3,5,446.00,1,32,t,17,36,60,124,250,21,4,4.89,4.93,4.83,4.96,4.97,4.99,4.81,f,11,11,0,0,1.87
233930,578211,Pete,2011-05-11,"Austin, TX",within an hour,100%,100%,t,Hyde Park,10,10,t,t,Austin,78751,Entire home,Entire home/apt,4,N/A,1 bath,2,2,262.00,20,365,t,3,21,26,242,101,9,0,4.94,4.95,4.95,4.99,4.98,4.97,4.8,f,10,10,0,0,0.74
238657,1250939,Kerry,2011-10-05,"Austin, TX",within an hour,100%,99%,t,Bouldin Creek,4,5,t,t,Austin,78704,Entire home,Entire home/apt,4,N/A,1 bath,2,2,217.00,2,1125,t,4,10,27,193,186,46,4,4.98,4.98,4.95,4.97,4.98,4.99,4.9,t,4,4,0,0,1.99
240541,1246229,Elizabeth,2011-10-04,"Austin, TX",within an hour,100%,99%,f,Holly,4,9,t,t,Austin,78702,Entire guesthouse,Entire home/apt,2,N/A,1 bath,1,1,89.00,1,9,t,20,33,33,33,720,124,5,4.62,4.73,4.6,4.86,4.88,4.83,4.7,t,4,3,1,0,5.34
247770,1298575,Gloria,2011-10-16,"Austin, TX",N/A,N/A,N/A,f,Windsor Park,1,1,t,t,Austin,78723,Entire home,Entire home/apt,5,N/A,N/A,3,2,175.00,2,75,f,0,0,0,0,1,0,0,4,5,4,5,5,5,5,f,1,1,0,0,0.01
248515,1208485,Caitlin,2011-09-25,"Austin, TX",within an hour,100%,97%,t,Cesar Chavez,2,3,t,t,Austin,78702,Entire home,Entire home/apt,4,N/A,1 bath,2,2,267.00,2,10,t,8,33,63,63,170,31,1,4.83,4.81,4.73,4.96,4.92,4.89,4.67,f,2,2,0,0,1.27
252804,1327500,Brooks,2011-10-23,"Austin, TX",N/A,N/A,N/A,f,St. Edwards,1,1,t,t,Austin,78704,Entire home,Entire home/apt,5,N/A,1.5 baths,3,3,100.00,30,210,t,30,60,90,365,94,0,0,4.67,4.79,4.49,4.77,4.8,4.74,4.6,f,1,1,0,0,0.68
254232,1335409,Eric,2011-10-25,"Austin, TX",within a day,100%,80%,t,Clarksville,2,2,t,t,Austin,78703,Entire bungalow,Entire home/apt,5,N/A,2 baths,2,3,689.00,4,180,t,0,0,14,285,6,1,0,5,5,5,5,4.8,5,4.8,f,2,2,0,0,0.04
271052,1418696,Kelsey,2011-11-17,"Austin, TX",within an hour,100%,91%,t,Zilker,1,1,t,t,Austin,78704,Entire condo,Entire home/apt,4,N/A,2 baths,2,2,264.00,3,29,t,26,50,80,339,45,8,1,4.89,4.96,4.93,4.93,4.93,4.84,4.64,f,1,1,0,0,0.34
277028,746455,Michael,2011-06-26,"Austin, TX",within an hour,100%,84%,t,Clarksville,4,5,t,t,Austin,78703,Entire home,Entire home/apt,16,N/A,2.5 baths,5,13,541.00,1,1125,t,18,38,64,240,116,15,0,4.69,4.6,4.54,4.89,4.89,4.76,4.62,f,4,2,2,0,0.84
281182,1465788,Michelle,2011-12-02,"Austin, TX",within an hour,100%,67%,t,Rosewood,1,1,t,t,Austin,78702,Entire home,Entire home/apt,10,N/A,2.5 baths,3,3,414.00,3,1125,t,27,55,85,175,51,8,0,4.9,4.94,4.88,4.98,4.94,4.76,4.82,f,1,1,0,0,0.38
282342,1471597,Teresa,2011-12-04,"Dallas, TX",within a few hours,100%,67%,t,N/A,1,1,t,t,Austin,78758,Entire rental unit,Entire home/apt,5,N/A,2.5 baths,3,3,91.00,30,600,t,7,15,15,15,30,2,0,4.77,4.79,4.82,4.86,4.86,4.25,4.79,f,1,1,0,0,0.22
294708,1523587,Dallas,2011-12-21,"Austin, TX",within an hour,98%,84%,t,St. Edwards,27,69,t,f,Austin,78741,Entire townhouse,Entire home/apt,7,N/A,3 baths,4,5,"1,800.00",3,60,t,30,60,90,179,296,13,0,4.74,4.73,4.76,4.93,4.93,4.66,4.74,f,22,22,0,0,2.21
295275,1282837,Joseph,2011-10-12,"Houston, TX",within a few hours,100%,100%,f,West Congress,3,4,t,t,Austin,78745,Entire home,Entire home/apt,8,N/A,2 baths,3,3,191.00,30,183,t,0,0,0,201,65,3,0,4.86,4.89,4.76,4.95,4.98,4.68,4.73,f,2,2,0,0,0.48
300574,167892,Veronica,2010-07-15,"Austin, TX",within an hour,100%,100%,t,Bouldin Creek,1,3,t,t,Austin,78704,Entire guesthouse,Entire home/apt,4,N/A,1 bath,1,3,144.00,2,28,t,15,35,65,155,441,50,5,4.89,4.88,4.84,4.95,4.93,4.95,4.76,t,1,1,0,0,3.27
304808,1566930,Chris,2012-01-04,"Austin, TX",within an hour,100%,99%,t,East Downtown,1,1,t,t,Austin,78702,Private room in home,Private room,2,N/A,1 private bath,1,1,155.00,2,1125,t,11,27,55,297,351,42,1,4.83,4.79,4.88,4.93,4.88,4.75,4.82,f,1,0,1,0,2.58
304866,1568741,Jim O',2012-01-05,"Austin, TX",within an hour,100%,96%,t,East Congress,17,30,t,t,Austin,78745,Entire guesthouse,Entire home/apt,3,N/A,1 bath,1,2,76.00,3,7,t,26,56,86,361,176,20,0,4.82,4.81,4.71,4.89,4.86,4.79,4.81,f,17,14,3,0,1.3
305392,117233,Paige,2010-05-02,"Austin, TX",N/A,N/A,N/A,f,East Downtown,1,2,t,t,Austin,78702,Entire home,Entire home/apt,9,N/A,3 baths,4,5,695.00,3,28,t,0,0,0,0,13,1,0,5,5,5,5,5,4.92,4.77,f,1,1,0,0,0.11
314152,1614097,Denise,2012-01-16,"Austin, TX",N/A,N/A,N/A,f,Long Canyon,1,1,t,f,Austin,78730,Entire rental unit,Entire home/apt,4,N/A,N/A,2,N/A,350.00,4,14,f,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,f,1,1,0,0,N/A
315239,1617870,John,2012-01-17,"Austin, TX",N/A,N/A,0%,f,South Manchaca,1,1,t,t,Austin,78745,Entire home,Entire home/apt,6,N/A,2 baths,3,3,600.00,3,1125,t,30,60,90,365,2,0,0,5,5,5,5,5,5,5,f,1,1,0,0,0.02
